"","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"81","CW-10-R1",60,100,0.0645577259203519,"COL","i",0.632822155952454,594.417053222656,7.34327697753906,0.750328600406647,49,0.801433861255646,-0.514049708843231,0.433760076761246,0.646890997886658,0.425466299057007,0.114697635173798,0.508588433265686,1.96622633934021,0.344707906246185,0.325742602348328,-0.656756460666656,"continental glacial outwash, Fraser-age","Pleistocene"
"82","CW-21-R2",0,30,0.233794779666255,"COL","i",0.534022033214569,719.616882324219,4.56691265106201,0.379875987768173,55,0.795178055763245,-0.503342628479004,0.38465416431427,0.603245973587036,0.390610635280609,0.0520372875034809,0.481170952320099,2.07826328277588,0.374111384153366,0.350283026695251,-0.663720488548279,"orthogneiss, porphyritic","pre-Tertiary"
"83","CW-21-R2",30,60,0.0734388431918288,"COL","i",0.534022033214569,719.616882324219,4.56691265106201,0.379875987768173,55,0.795178055763245,-0.503342628479004,0.38465416431427,0.603245973587036,0.390610635280609,0.0520372875034809,0.481170952320099,2.07826328277588,0.374111384153366,0.350283026695251,-0.663720488548279,"orthogneiss, porphyritic","pre-Tertiary"
"84","CW-21-R2",60,100,0.00369170753728331,"COL","i",0.534022033214569,719.616882324219,4.56691265106201,0.379875987768173,55,0.795178055763245,-0.503342628479004,0.38465416431427,0.603245973587036,0.390610635280609,0.0520372875034809,0.481170952320099,2.07826328277588,0.374111384153366,0.350283026695251,-0.663720488548279,"orthogneiss, porphyritic","pre-Tertiary"
"85","CW-29-R2",0,30,0.153013691970693,"COL","f",0.206009522080421,664.216674804688,6.02921533584595,0.243654891848564,65,0.797510802745819,-0.429315328598022,0.267904669046402,0.5697802901268,0.27941307425499,-0.0456776283681393,0.419961124658585,2.38117265701294,0.37196484208107,0.408489257097244,-0.632650911808014,"continental glacial outwash, Fraser-age","Pleistocene"
"86","CW-29-R2",30,60,0.0331249833281129,"COL","f",0.206009522080421,664.216674804688,6.02921533584595,0.243654891848564,65,0.797510802745819,-0.429315328598022,0.267904669046402,0.5697802901268,0.27941307425499,-0.0456776283681393,0.419961124658585,2.38117265701294,0.37196484208107,0.408489257097244,-0.632650911808014,"continental glacial outwash, Fraser-age","Pleistocene"
"87","CW-29-R2",60,100,0.0224922587208118,"COL","f",0.206009522080421,664.216674804688,6.02921533584595,0.243654891848564,65,0.797510802745819,-0.429315328598022,0.267904669046402,0.5697802901268,0.27941307425499,-0.0456776283681393,0.419961124658585,2.38117265701294,0.37196484208107,0.408489257097244,-0.632650911808014,"continental glacial outwash, Fraser-age","Pleistocene"
"88","E-ML-FR-H-1040",0,30,1.00295107295669,"HOH","i",0.658306658267975,3206.46337890625,9.86359691619873,0.880313277244568,50,0.843174517154694,-0.552611112594604,0.577843487262726,0.687895894050598,0.553492426872253,0.10874779522419,0.468216896057129,2.13576245307922,0.47788143157959,0.362196564674377,-0.724703371524811,"alpine glacial drift, Fraser-age","Pleistocene"
"89","E-ML-FR-H-1040",30,60,1.57348169921071,"HOH","i",0.658306658267975,3206.46337890625,9.86359691619873,0.880313277244568,50,0.843174517154694,-0.552611112594604,0.577843487262726,0.687895894050598,0.553492426872253,0.10874779522419,0.468216896057129,2.13576245307922,0.47788143157959,0.362196564674377,-0.724703371524811,"alpine glacial drift, Fraser-age","Pleistocene"
"90","E-ML-FR-H-1040",60,100,1.2570312333106,"HOH","i",0.658306658267975,3206.46337890625,9.86359691619873,0.880313277244568,50,0.843174517154694,-0.552611112594604,0.577843487262726,0.687895894050598,0.553492426872253,0.10874779522419,0.468216896057129,2.13576245307922,0.47788143157959,0.362196564674377,-0.724703371524811,"alpine glacial drift, Fraser-age","Pleistocene"
"91","H-C-01-DNR-WET",0,30,1.22805647458475,"HOH","f",0.582455039024353,3065.88403320312,10.1813697814941,0.851915717124939,58,0.839673101902008,-0.466466397047043,0.454399406909943,0.642675518989563,0.456817775964737,-0.00517345685511827,0.41500461101532,2.40985894203186,0.542865514755249,0.41343542933464,-0.695698440074921,"alpine glacial drift, Fraser-age","Pleistocene"
