"","X","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"87",87,"H-C-30-2020",0,30,0.560587406075858,"HOH","e",0.476422756910324,3146.22705078125,9.96616649627686,0.0678915902972221,69.4078063964844,0.827948272228241,-0.470910310745239,0.421651780605316,0.607200443744659,0.427921324968338,-0.0426797270774841,0.383708596229553,2.61683702468872,0.485494673252106,0.445815294981003,-0.699551224708557,"alpine glacial drift, Fraser-age","Pleistocene"
"88",88,"H-C-30-2020",30,100,0.765058390918986,"HOH","e",0.476422756910324,3146.22705078125,9.96616649627686,0.0678915902972221,69.4078063964844,0.827948272228241,-0.470910310745239,0.421651780605316,0.607200443744659,0.427921324968338,-0.0426797270774841,0.383708596229553,2.61683702468872,0.485494673252106,0.445815294981003,-0.699551224708557,"alpine glacial drift, Fraser-age","Pleistocene"
"89",89,"H-CE-20-DNR",0,30,0.53437937250154,"HOH","f",0.541175603866577,3234.1767578125,9.79849815368652,0.309843361377716,67.9252014160156,0.888573348522186,-0.490307867527008,0.522002220153809,0.687215983867645,0.512634873390198,-0.0789407715201378,0.318580090999603,3.14122152328491,0.557909727096558,0.516848564147949,-0.760900259017944,"alpine glacial outwash, pre-Fraser","Pleistocene"
"90",90,"H-CE-20-DNR",30,100,0.482108865409733,"HOH","f",0.541175603866577,3234.1767578125,9.79849815368652,0.309843361377716,67.9252014160156,0.888573348522186,-0.490307867527008,0.522002220153809,0.687215983867645,0.512634873390198,-0.0789407715201378,0.318580090999603,3.14122152328491,0.557909727096558,0.516848564147949,-0.760900259017944,"alpine glacial outwash, pre-Fraser","Pleistocene"
"91",91,"H-CN-17R2-DNR",0,30,0.363520516687068,"HOH","f",0.53995943069458,3052.6533203125,10.0634441375732,0.201289162039757,63.4622459411621,0.844540417194366,-0.547894239425659,0.586227297782898,0.683157444000244,0.554566264152527,0.0869275778532028,0.440435707569122,2.33709764480591,0.399949908256531,0.391974478960037,-0.722171187400818,"glacial outwash, alpine, Fraser-age","Pleistocene"
"92",92,"H-CN-17R2-DNR",30,100,0.611269203258458,"HOH","f",0.53995943069458,3052.6533203125,10.0634441375732,0.201289162039757,63.4622459411621,0.844540417194366,-0.547894239425659,0.586227297782898,0.683157444000244,0.554566264152527,0.0869275778532028,0.440435707569122,2.33709764480591,0.399949908256531,0.391974478960037,-0.722171187400818,"glacial outwash, alpine, Fraser-age","Pleistocene"
"93",93,"H-CW-12-TNC",0,30,0.43584494196625,"HOH","c",0.686522960662842,2748.49145507812,10.251482963562,0.286132514476776,65.4285736083984,0.905274033546448,-0.413056433200836,0.566773295402527,0.681788325309753,0.5478276014328,-0.206869065761566,0.270433902740479,3.69787096977234,0.554683148860931,0.574267387390137,-0.752075970172882,"alpine glacial outwash, pre-Fraser","Pleistocene"
"94",94,"H-CW-12-TNC",30,100,0.264206081300891,"HOH","c",0.686522960662842,2748.49145507812,10.251482963562,0.286132514476776,65.4285736083984,0.905274033546448,-0.413056433200836,0.566773295402527,0.681788325309753,0.5478276014328,-0.206869065761566,0.270433902740479,3.69787096977234,0.554683148860931,0.574267387390137,-0.752075970172882,"alpine glacial outwash, pre-Fraser","Pleistocene"
"95",95,"H-CW-14-TNC",0,30,0.824825568331476,"HOH","c",0.614221572875977,2789.455078125,10.2066812515259,0.169337391853333,49.3185119628906,0.866342484951019,-0.465003579854965,0.502136766910553,0.660436689853668,0.491058260202408,-0.0664217919111252,0.345759719610214,2.90408182144165,0.505088984966278,0.486538380384445,-0.72545862197876,"glacial outwash, alpine, Fraser-age","Pleistocene"
"96",96,"H-CW-14-TNC",30,100,0.528189166463987,"HOH","c",0.614221572875977,2789.455078125,10.2066812515259,0.169337391853333,49.3185119628906,0.866342484951019,-0.465003579854965,0.502136766910553,0.660436689853668,0.491058260202408,-0.0664217919111252,0.345759719610214,2.90408182144165,0.505088984966278,0.486538380384445,-0.72545862197876,"glacial outwash, alpine, Fraser-age","Pleistocene"
