"","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","NDYI","Geomorphon_Class","WIP","Temp","Precip","NDVI","SCI","MNDWI","EVI","GEOLOGIC_AGE","x","y"
"133","H-C-06-DNR",0,15,1.04618348016848,"HOH",0.4770236747073,9,0.468809406992648,9.9203710456877,3135.8632234097,0.873584563407785,0.703707860511522,-0.547303850038864,0.565586558803008,"Pleistocene",417045.459695327,5294011.14961493
"134","H-C-06-DNR",15,30,1.1036833560158,"HOH",0.4770236747073,9,0.468809406992648,9.9203710456877,3135.8632234097,0.873584563407785,0.703707860511522,-0.547303850038864,0.565586558803008,"Pleistocene",417045.459695327,5294011.14961493
"135","H-C-06-DNR",30,60,1.20519676702982,"HOH",0.4770236747073,9,0.468809406992648,9.9203710456877,3135.8632234097,0.873584563407785,0.703707860511522,-0.547303850038864,0.565586558803008,"Pleistocene",417045.459695327,5294011.14961493
"136","H-C-06-DNR",60,100,0.784595233105217,"HOH",0.4770236747073,9,0.468809406992648,9.9203710456877,3135.8632234097,0.873584563407785,0.703707860511522,-0.547303850038864,0.565586558803008,"Pleistocene",417045.459695327,5294011.14961493
"137","H-C-08-DNR",0,15,0.591802758984976,"HOH",0.276687356260942,6,0.171825417839706,10.2237415691619,3003.04702370423,0.656561661029222,0.589399766200783,-0.557377705473934,0.387458494654138,"Pleistocene",407481.99117649,5294421.11672328
"138","H-C-08-DNR",15,30,0.845581912867318,"HOH",0.276687356260942,6,0.171825417839706,10.2237415691619,3003.04702370423,0.656561661029222,0.589399766200783,-0.557377705473934,0.387458494654138,"Pleistocene",407481.99117649,5294421.11672328
"139","H-C-08-DNR",30,60,0.627999602319741,"HOH",0.276687356260942,6,0.171825417839706,10.2237415691619,3003.04702370423,0.656561661029222,0.589399766200783,-0.557377705473934,0.387458494654138,"Pleistocene",407481.99117649,5294421.11672328
"140","H-C-08-DNR",60,100,0.0482750447312911,"HOH",0.276687356260942,6,0.171825417839706,10.2237415691619,3003.04702370423,0.656561661029222,0.589399766200783,-0.557377705473934,0.387458494654138,"Pleistocene",407481.99117649,5294421.11672328
"141","H-C-10-2020",0,15,1.01139838680566,"HOH",0.566514660354842,10,0.540789562883847,10.2257762696219,3032.87512128253,0.902579525627174,0.688723074581559,-0.451836689037762,0.541830106827339,"Pleistocene",409085.290444709,5294752.86090599
"142","H-C-10-2020",15,30,0.688870740726783,"HOH",0.566514660354842,10,0.540789562883847,10.2257762696219,3032.87512128253,0.902579525627174,0.688723074581559,-0.451836689037762,0.541830106827339,"Pleistocene",409085.290444709,5294752.86090599
"143","H-C-10-2020",30,60,0.564696672244561,"HOH",0.566514660354842,10,0.540789562883847,10.2257762696219,3032.87512128253,0.902579525627174,0.688723074581559,-0.451836689037762,0.541830106827339,"Pleistocene",409085.290444709,5294752.86090599
"144","H-C-10-2020",60,100,0.309088937706511,"HOH",0.566514660354842,10,0.540789562883847,10.2257762696219,3032.87512128253,0.902579525627174,0.688723074581559,-0.451836689037762,0.541830106827339,"Pleistocene",409085.290444709,5294752.86090599
