"","sample_ID","site","depth_cm","BD_g_cm3","carbon_perc","carbon_stock_g_cm2","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"257","MCSE_S15","MAS",63,1.09,1.326,0.247128312,"f",0.599874258041382,1781.53869628906,8.390700340271,0.489182949066162,69.1881408691406,0.891071557998657,-0.553734600543976,0.537228167057037,0.733934223651886,0.513736963272095,0.045711699873209,0.36772158741951,2.71995663642883,0.4466273188591,0.462306469678879,-0.76364415884018,"basaltic andesite flows","Oligocene-Eocene"
"258","MCSE_S15","MAS",95,0.91,0.647,0.170250463,"f",0.599874258041382,1781.53869628906,8.390700340271,0.489182949066162,69.1881408691406,0.891071557998657,-0.553734600543976,0.537228167057037,0.733934223651886,0.513736963272095,0.045711699873209,0.36772158741951,2.71995663642883,0.4466273188591,0.462306469678879,-0.76364415884018,"basaltic andesite flows","Oligocene-Eocene"
"259","MCSE_S16","MAS",17,0.16,46.888,1.256964628,"f",0.511033058166504,1827.27917480469,8.3711519241333,0.19359727203846,70.6029815673828,0.893091261386871,-0.564944446086884,0.53394204378128,0.744450151920319,0.510941743850708,0.0747485011816025,0.381902635097504,2.6207766532898,0.438137382268906,0.447378218173981,-0.765052616596222,"basaltic andesite flows","Oligocene-Eocene"
"260","MCSE_S16","MAS",34,0.54,5.543,0.379371558,"f",0.511033058166504,1827.27917480469,8.3711519241333,0.19359727203846,70.6029815673828,0.893091261386871,-0.564944446086884,0.53394204378128,0.744450151920319,0.510941743850708,0.0747485011816025,0.381902635097504,2.6207766532898,0.438137382268906,0.447378218173981,-0.765052616596222,"basaltic andesite flows","Oligocene-Eocene"
"261","MCSE_S16","MAS",56,0.59,3.629,0.422305815,"f",0.511033058166504,1827.27917480469,8.3711519241333,0.19359727203846,70.6029815673828,0.893091261386871,-0.564944446086884,0.53394204378128,0.744450151920319,0.510941743850708,0.0747485011816025,0.381902635097504,2.6207766532898,0.438137382268906,0.447378218173981,-0.765052616596222,"basaltic andesite flows","Oligocene-Eocene"
"262","MCSE_S16","MAS",76,0.61,2.465,0.300796537,"f",0.511033058166504,1827.27917480469,8.3711519241333,0.19359727203846,70.6029815673828,0.893091261386871,-0.564944446086884,0.53394204378128,0.744450151920319,0.510941743850708,0.0747485011816025,0.381902635097504,2.6207766532898,0.438137382268906,0.447378218173981,-0.765052616596222,"basaltic andesite flows","Oligocene-Eocene"
"263","MCSE_S16","MAS",105,0.64,1.952,0.359800275,"f",0.511033058166504,1827.27917480469,8.3711519241333,0.19359727203846,70.6029815673828,0.893091261386871,-0.564944446086884,0.53394204378128,0.744450151920319,0.510941743850708,0.0747485011816025,0.381902635097504,2.6207766532898,0.438137382268906,0.447378218173981,-0.765052616596222,"basaltic andesite flows","Oligocene-Eocene"
"264","MCSE_S24","MAS",5,0.2,19.318,0.188754829,"g",0.308996796607971,1771.49389648438,8.41244029998779,0.157548800110817,72.7128143310547,0.877676427364349,-0.488973557949066,0.442755043506622,0.684985101222992,0.437050819396973,-0.0408570878207684,0.346949219703674,2.8849081993103,0.418718189001083,0.48492819070816,-0.727081120014191,"basaltic andesite flows","Oligocene-Eocene"
"265","MCSE_S24","MAS",22,0.48,5.564,0.457645022,"g",0.308996796607971,1771.49389648438,8.41244029998779,0.157548800110817,72.7128143310547,0.877676427364349,-0.488973557949066,0.442755043506622,0.684985101222992,0.437050819396973,-0.0408570878207684,0.346949219703674,2.8849081993103,0.418718189001083,0.48492819070816,-0.727081120014191,"basaltic andesite flows","Oligocene-Eocene"
"266","MCSE_S24","MAS",36,0.62,2.482,0.194312727,"g",0.308996796607971,1771.49389648438,8.41244029998779,0.157548800110817,72.7128143310547,0.877676427364349,-0.488973557949066,0.442755043506622,0.684985101222992,0.437050819396973,-0.0408570878207684,0.346949219703674,2.8849081993103,0.418718189001083,0.48492819070816,-0.727081120014191,"basaltic andesite flows","Oligocene-Eocene"
"267","MCSE_S24","MAS",66,0.45,3.175,0.406467914,"g",0.308996796607971,1771.49389648438,8.41244029998779,0.157548800110817,72.7128143310547,0.877676427364349,-0.488973557949066,0.442755043506622,0.684985101222992,0.437050819396973,-0.0408570878207684,0.346949219703674,2.8849081993103,0.418718189001083,0.48492819070816,-0.727081120014191,"basaltic andesite flows","Oligocene-Eocene"
"268","MCSE_S24","MAS",114,0.47,1.9,0.36401039,"g",0.308996796607971,1771.49389648438,8.41244029998779,0.157548800110817,72.7128143310547,0.877676427364349,-0.488973557949066,0.442755043506622,0.684985101222992,0.437050819396973,-0.0408570878207684,0.346949219703674,2.8849081993103,0.418718189001083,0.48492819070816,-0.727081120014191,"basaltic andesite flows","Oligocene-Eocene"
"269","MCSE_S24","MAS",154,0.76,0.45,0.115948052,"g",0.308996796607971,1771.49389648438,8.41244029998779,0.157548800110817,72.7128143310547,0.877676427364349,-0.488973557949066,0.442755043506622,0.684985101222992,0.437050819396973,-0.0408570878207684,0.346949219703674,2.8849081993103,0.418718189001083,0.48492819070816,-0.727081120014191,"basaltic andesite flows","Oligocene-Eocene"
"270","MCSE_S24","MAS",170,0.8,0.494,0.039348918,"g",0.308996796607971,1771.49389648438,8.41244029998779,0.157548800110817,72.7128143310547,0.877676427364349,-0.488973557949066,0.442755043506622,0.684985101222992,0.437050819396973,-0.0408570878207684,0.346949219703674,2.8849081993103,0.418718189001083,0.48492819070816,-0.727081120014191,"basaltic andesite flows","Oligocene-Eocene"
"271","MCSE_S8","MAS",5,0.16,23.341,0.184035621,"g",0.917269110679626,1730.16088867188,8.48249340057373,0.869280517101288,63.4834632873535,0.886792063713074,-0.537338614463806,0.567921340465546,0.723987519741058,0.533371329307556,0.0254434291273355,0.369462966918945,2.70843100547791,0.41244375705719,0.460497915744781,-0.749233484268188,"alpine glacial drift, pre-Fraser","Pleistocene"
"272","MCSE_S8","MAS",33,0.46,6.36,0.616273797,"g",0.917269110679626,1730.16088867188,8.48249340057373,0.869280517101288,63.4834632873535,0.886792063713074,-0.537338614463806,0.567921340465546,0.723987519741058,0.533371329307556,0.0254434291273355,0.369462966918945,2.70843100547791,0.41244375705719,0.460497915744781,-0.749233484268188,"alpine glacial drift, pre-Fraser","Pleistocene"
"273","MCSE_S8","MAS",64,0.61,2.975,0.1953,"g",0.917269110679626,1730.16088867188,8.48249340057373,0.869280517101288,63.4834632873535,0.886792063713074,-0.537338614463806,0.567921340465546,0.723987519741058,0.533371329307556,0.0254434291273355,0.369462966918945,2.70843100547791,0.41244375705719,0.460497915744781,-0.749233484268188,"alpine glacial drift, pre-Fraser","Pleistocene"
"274","MCSE_S8","MAS",90,0.55,2.702,0.116567872,"g",0.917269110679626,1730.16088867188,8.48249340057373,0.869280517101288,63.4834632873535,0.886792063713074,-0.537338614463806,0.567921340465546,0.723987519741058,0.533371329307556,0.0254434291273355,0.369462966918945,2.70843100547791,0.41244375705719,0.460497915744781,-0.749233484268188,"alpine glacial drift, pre-Fraser","Pleistocene"
"275","ME_S25","MAS",7,0.36,8.519,0.215970302,"g",0.434078842401505,1795.1787109375,7.89088439941406,0.147451192140579,72.7036819458008,0.819223523139954,-0.511682271957397,0.447546452283859,0.63628226518631,0.437744915485382,0.0130880903452635,0.397601097822189,2.60779166221619,0.347802966833115,0.43688315153122,-0.679176211357117,"continental sedimentary deposits or rocks","Eocene"
"276","ME_S25","MAS",26,0.45,3.535,0.150851872,"g",0.434078842401505,1795.1787109375,7.89088439941406,0.147451192140579,72.7036819458008,0.819223523139954,-0.511682271957397,0.447546452283859,0.63628226518631,0.437744915485382,0.0130880903452635,0.397601097822189,2.60779166221619,0.347802966833115,0.43688315153122,-0.679176211357117,"continental sedimentary deposits or rocks","Eocene"
"277","ME_S25","MAS",45,0.59,2.02,0.090071322,"g",0.434078842401505,1795.1787109375,7.89088439941406,0.147451192140579,72.7036819458008,0.819223523139954,-0.511682271957397,0.447546452283859,0.63628226518631,0.437744915485382,0.0130880903452635,0.397601097822189,2.60779166221619,0.347802966833115,0.43688315153122,-0.679176211357117,"continental sedimentary deposits or rocks","Eocene"
"278","ME_S25","MAS",70,0.49,1.812,0.155360428,"g",0.434078842401505,1795.1787109375,7.89088439941406,0.147451192140579,72.7036819458008,0.819223523139954,-0.511682271957397,0.447546452283859,0.63628226518631,0.437744915485382,0.0130880903452635,0.397601097822189,2.60779166221619,0.347802966833115,0.43688315153122,-0.679176211357117,"continental sedimentary deposits or rocks","Eocene"
"279","ME_S25","MAS",97,0.7,0.524,0.084398026,"g",0.434078842401505,1795.1787109375,7.89088439941406,0.147451192140579,72.7036819458008,0.819223523139954,-0.511682271957397,0.447546452283859,0.63628226518631,0.437744915485382,0.0130880903452635,0.397601097822189,2.60779166221619,0.347802966833115,0.43688315153122,-0.679176211357117,"continental sedimentary deposits or rocks","Eocene"
"280","ME_S29","MAS",9,0.12,46,0.493541377,"f",0.269113153219223,2097.30102539062,5.7455997467041,0.00918293558061123,74.6421737670898,0.903707921504974,-0.39369010925293,0.355940073728561,0.633630275726318,0.373620897531509,-0.263597130775452,0.228888303041458,4.37995386123657,0.635798573493958,0.627645075321198,-0.758509635925293,"volcaniclastic deposits or rocks","Eocene"
"281","ME_S29","MAS",28,0.49,4.038,0.375111383,"f",0.269113153219223,2097.30102539062,5.7455997467041,0.00918293558061123,74.6421737670898,0.903707921504974,-0.39369010925293,0.355940073728561,0.633630275726318,0.373620897531509,-0.263597130775452,0.228888303041458,4.37995386123657,0.635798573493958,0.627645075321198,-0.758509635925293,"volcaniclastic deposits or rocks","Eocene"
"282","ME_S29","MAS",74,0.36,7.686,1.267651765,"f",0.269113153219223,2097.30102539062,5.7455997467041,0.00918293558061123,74.6421737670898,0.903707921504974,-0.39369010925293,0.355940073728561,0.633630275726318,0.373620897531509,-0.263597130775452,0.228888303041458,4.37995386123657,0.635798573493958,0.627645075321198,-0.758509635925293,"volcaniclastic deposits or rocks","Eocene"
"283","ME_S29","MAS",112,0.48,1.259,0.220363152,"f",0.269113153219223,2097.30102539062,5.7455997467041,0.00918293558061123,74.6421737670898,0.903707921504974,-0.39369010925293,0.355940073728561,0.633630275726318,0.373620897531509,-0.263597130775452,0.228888303041458,4.37995386123657,0.635798573493958,0.627645075321198,-0.758509635925293,"volcaniclastic deposits or rocks","Eocene"
"284","ME_S29","MAS",125,0.47,2.521,0.100463808,"f",0.269113153219223,2097.30102539062,5.7455997467041,0.00918293558061123,74.6421737670898,0.903707921504974,-0.39369010925293,0.355940073728561,0.633630275726318,0.373620897531509,-0.263597130775452,0.228888303041458,4.37995386123657,0.635798573493958,0.627645075321198,-0.758509635925293,"volcaniclastic deposits or rocks","Eocene"
